,game_fr,game_en,platform,website_rating,public_rating,publishor/developer,release,type,classification,url,description
4663,Everybody's Golf 2,Hot Shots Golf: Open Tee 2,PSP,16/20,17.6/20,Clapping Hands Sony,30 Mai 2000,Sport,+3 ans,http://www.jeuxvideo.com/jeux/jeu-57573/," Des golfeurs super-deformed, des tonnes de bonus à débloquer et un gameplay aussi accessible que technique : c'est la formule gagnante d'Everybody's Golf. Et pour la plus grand joie des fans, ce second volet PSP dispose enfin d'un véritable mode online."
4664,Everybody's Golf 2,Hot Shots Golf: Open Tee 2,PS1,14/20,17.6/20,Clapping Hands Sony,30 Mai 2000,Sport,+3 ans,http://www.jeuxvideo.com/jeux/jeu-57573/," Faites chauffer les clubs, affûtez vos tees et polissez vos balles ! Voici Everybody's Golf 2, le dernier jeu de golf de Sony. Dans la lignée des Hot Shots et Cyber Tiger Wood, Everybody's Golf 2 ne fait ni mieux, ni pire..."
4665,Everybody's Gone to the Rapture,Everybody's Gone to the Rapture,PS4,18/20,13/20,SCE Santa Monica Studio Sony Computer Entertainment TheChineseRoom,11 Août 2015,Aventure,Unknown,http://www.jeuxvideo.com/jeux/jeu-79421/,
4666,Everybody's Tennis,Hot Shots Tennis,PSP,15/20,16.1/20,Sony Sony Computer Entertainment Clap Hanz,18 Avril 2007,Sport,+3 ans,http://www.jeuxvideo.com/jeux/jeu-65144/," Trois ans après nous avoir régalés sur Playstation 2, Everyboby's Tennis s'invite sur PSP pour nous faire partager une fois de plus sa vision décalée des compétitions sportives. Toujours aussi coloré et enjoué, Everybody's Tennis s'accommode-t-il du format portable ?"
4667,Everybody's Tennis,Hot Shots Tennis: Get a Grip,PS2,15/20,16.1/20,Sony Sony Computer Entertainment Clap Hanz,18 Avril 2007,Sport,+3 ans,http://www.jeuxvideo.com/jeux/jeu-65144/," Vous êtes lassé des jeux de tennis trop arcades et les simulations ultra réalistes vous effraient ? Le studio Clap Hanz a pensé à vous en appliquant la formule Everybody's Golf au sport qui nous intéresse ici. Affichant un manque de sérieux qui pourrait injustement rebuter les habitués de ce genre de titres, Everybody's Tennis est en réalité un pur régal à jouer et il a le mérite de s'adresser à tous les publics."
4668,Everyone Sing,Everyone Sing,Wii,12/20,14.3/20,Gusto Games Oxygen Games,15 Mai 2012,Rythme,+12 ans,http://www.jeuxvideo.com/jeux/jeu-78511/," Bien que les jeux de karaoké ne manquent pas sur Wii, Everyone Sing débarque à son tour pour tenter de se faire une place au soleil au milieu des autres licences. Pas facile cependant de s'imposer dans un contexte aussi concurrentiel."
4669,Everyone Sing,Everyone Sing,PS3,12/20,--/20,Unknown,Unknown,Unknown,Unknown,None," En matière de karaoké sur PlayStation 3, Singstar est encore aujourd'hui considéré comme la référence incontournable. Everyone Sing possède-t-il les qualités nécessaires pour inquiéter la célèbre série de Sony ?"
4670,Everyone Sing,Everyone Sing,360,12/20,--/20,Unknown,Unknown,Unknown,Unknown,None," Contrairement à ce qu'on a pu observer sur PS3 ou Wii, on ne peut pas dire que les karaokés se soient bousculés ces dernières années sur Xbox 360. Par chance, Everyone Sing tente aujourd'hui de combler cette lacune en nous proposant 35 chansons à reprendre entre amis."
4671,Everything,Everything,PC,17/20,18/20,David OReilly Double Fine Productions David O'Reilly,21 Mars 2017,Simulation Autres,Unknown,http://www.jeuxvideo.com/jeux/jeu-624310/,"Dans le monde vidéoludique, on peut tomber sur des expériences étranges qui semblent être de simples farces, et qui sont pourtant pleines de sens. Everything fait partie de ces jeux absurdement intéressants, et nous présente un récit guidé par les discours du fameux philosophe Alan Watts sur les choses autour de nous, et les liens les liant toutes. Attention, OVNI en approche."
4672,Evil Days of Luckless John,Evil Days of Luckless John,PC,14/20,7.5/20,Centauri Production Playlogic International,23 Août 2007,Action Aventure,+7 ans,http://www.jeuxvideo.com/jeux/pc/00019047-evil-days-of-luckless-john.htm," Après un âge d'or au début des années 90, avec les productions LucasArt et Sierra, les jeux d'aventure étaient quelque peu tombés en désuétude. Mais depuis quelques années, le genre connaît un certain renouveau, avec des séries comme Syberia, Runaway ou encore Ankh. Non, le point & click à l'ancienne n'est pas mort, pour notre plus grand plaisir."
4673,Evil Dead : A Fistful of Boomstick,Evil Dead: A Fistful of Boomstick,PS2,10/20,14.3/20,VIS Entertainment THQ,Juillet 2003,Action,+16 ans,http://www.jeuxvideo.com/jeux/jeu-61997/," La licence Evil Dead donnera-t-elle un jour naissance à un titre digne d'elle ? Allez savoir, en tout cas, ce n'est pas pour cette fois. Après un Hail To The King navrant, Ash revient pour vivre sa plus épouvantable aventure : jouer dans A Fistful Of Boomstick. Alors là il va vraiment en baver."
4674,Evil Dead : A Fistful of Boomstick,Evil Dead: A Fistful of Boomstick,Xbox,10/20,14.3/20,VIS Entertainment THQ,Juillet 2003,Action,+16 ans,http://www.jeuxvideo.com/jeux/jeu-61997/," La licence Evil Dead donnera-t-elle un jour naissance à un titre digne d'elle ? Allez savoir, en tout cas, ce n'est pas pour cette fois. Après un Hail To The King navrant, Ash revient pour vivre sa plus épouvantable aventure : jouer dans A Fistful Of Boomstick. Alors là il va vraiment en baver."
4675,Evil Dead : Hail to the King,Evil Dead: Hail to the King,DCAST,10/20,11.1/20,Heavy Iron Studios THQ,Mai 2001,Action Aventure,+12 ans,http://www.jeuxvideo.com/jeux/jeu-58307/," THQ persiste et signe en déclinant une fois de plus son adaptation ratée de la célèbre trilogie d'Evil Dead. Si une fois encore l'univers de Sam Raimi n'est pas dénaturé, ce portage ne fait pas mieux que ses petits congénères pour nous donner au final un titre plus que décevant par son potentiel gâché."
4676,Evil Dead : Hail to the King,Evil Dead: Hail to the King,PS1,10/20,--/20,Unknown,Unknown,Unknown,Unknown,None," Evil Dead : Hail to the King, c'est un peu le Resident Evil du pauvre. Tous les ingrédients d'un survival horror sont là pour faire un bon jeu, et pourtant le soft ne parvient pas à enthousiasmer le joueur qui s'évertue à garder les yeux ouverts tout en avançant dans le jeu. Et cette fois encore, même les fans seront déçus."
4677,Evil Dead : Hail to the King,Evil Dead: Hail to the King,PC,10/20,11.1/20,Heavy Iron Studios THQ,Mai 2001,Action Aventure,+12 ans,http://www.jeuxvideo.com/jeux/jeu-58307/," Directement inspiré de la trilogie des Evil Dead, Evil Dead : Hail To The King tente de nous plonger dans les cauchemars qui hantent Ash, mais en vain. Voici donc un jeu qui aurait pu tirer intelligemment profit d'un background intéressant et qui pourtant ne parvient pas à faire ses preuves."
4678,Evil Dead Regeneration,Evil Dead: Regeneration,PC,8/20,16/20,Cranky Pants THQ,16 Septembre 2005,Action Aventure,+18 ans,http://www.jeuxvideo.com/jeux/jeu-63651/," Ash, héros des films Evil Dead, n'a jamais été très à l'aise dans le monde du jeu vidéo. Quelques espoirs furent placés en cet opus Regeneration, espoirs malheureusement déçus aujourd'hui par la découverte d'un jeu fade qu'un poil d'humour ne sauvera certainement pas de la damnation."
4679,Evil Dead Regeneration,Evil Dead: Regeneration,PS2,8/20,16/20,Cranky Pants THQ,16 Septembre 2005,Action Aventure,+18 ans,http://www.jeuxvideo.com/jeux/jeu-63651/," Ash, héros des films Evil Dead, n'a jamais été très à l'aise dans le monde du jeu vidéo. Quelques espoirs furent placés en cet opus Regeneration, espoirs malheureusement déçus aujourd'hui par la découverte d'un jeu fade qu'un poil d'humour ne sauvera certainement pas de la damnation."
4680,Evil Dead Regeneration,Evil Dead: Regeneration,Xbox,8/20,--/20,Cranky Pants THQ,16 Septembre 2005,Action Aventure,+18 ans,http://www.jeuxvideo.com/jeux/jeu-63651/," Ash, héros des films Evil Dead, n'a jamais été très à l'aise dans le monde du jeu vidéo. Quelques espoirs furent placés en cet opus Regeneration, espoirs malheureusement déçus aujourd'hui par la découverte d'un jeu fade qu'un poil d'humour ne sauvera certainement pas de la damnation."
4681,Evil Genius,Evil Genius,PC,13/20,16.9/20,Vivendi Universal Games Elixir Studios,01 Octobre 2004,Gestion Stratégie,+12 ans,http://www.jeuxvideo.com/jeux/pc/00011202-evil-genius.htm," En développement depuis un petit bout de temps, mais étrangement assez discret dans chaque salon de presse, Evil Genius est fin prêt à nous faire goûter au côté obscur de la force. Avec lui, on pourra enfin comprendre les motivations qui guident les grands génies du mal tel que le Dr Denfer."
4682,Evil Islands : Curse of the Lost Soul,Evil Islands: Curse of the Lost Soul,PC,12/20,16.4/20,Ubisoft Nival Interactive,22 Mars 2001,RPG Stratégie,+3 ans,http://www.jeuxvideo.com/jeux/pc/00004913-evil-islands-curse-of-the-lost-soul.htm," Nival Interactive et Ubi nous invitent à devenir l'élu d'une mystérieuse prophétie et nous plongent dans un univers d'heroic-fantasy avec un soft qui tente de conjuguer RPG et action. Sans rivaliser avec les hits de la catégorie, Evil Island s'avère un titre sympathique mais lacunaire."
4683,Evil Prophecy,McFarlane's Evil Prophecy,PS2,8/20,0/20,Konami,15 Octobre 2004,Beat'em All,+12 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00011037-evil-prophecy.htm," Bien que je ne connaisse Todd Mc Farlane que pour son héros le plus célèbre, le somptueux Spawn, je demeure grandement adepte de son style tirant sur un trait organique aux déchirements tremblotants. Quand en plus il se charge du design des créatures les plus emblématiques de la littérature fantastique, à savoir la créature de Frankenstein, Dracula, un représentant des torturés loups-garous entre autres, dans un soft vous plaçant dans la peau de chasseurs de monstres, il va sans dire que le menu s'avère alléchant. Mais à la découverte du scénario et surtout de l'aspect des personnages présents, un doute survient. Est-il légitime ?"
4684,Evil Twin : Cyprien's Chronicles,Evil Twin: Cyprien's Chronicles,DCAST,16/20,14.1/20,Bigben Interactive In Utero Ubisoft,04 Octobre 2001,Plate-Forme,+7 ans,http://www.jeuxvideo.com/jeux/jeu-58367/," Alors que les versions PC et PS2 d'Evil Twin sont déjà sorties depuis maintenant plusieurs mois, le titre arrive finalement sur une Dreamcast, certes en fin de carrière, mais qui peut se réjouir d'accueillir dans sa ludothèque un titre de plate-forme suffisamment original pour séduire les amateurs du genre, peu gâtés sur ce support."
4685,Evil Twin : Cyprien's Chronicles,Evil Twin: Cyprien's Chronicles,PS2,16/20,14.1/20,Bigben Interactive In Utero Ubisoft,04 Octobre 2001,Plate-Forme,+7 ans,http://www.jeuxvideo.com/jeux/jeu-58367/," La conversion console du fameux titre de In Utero sera bien au rendez-vous des fêtes de fin d'année. Evil Twin nous arrive donc dans une version similaire à l'opus original, et si l'effet de surprise n'est plus vraiment là, la magie est toujours bien présente dans ce titre qui se révèle parfaitement adapté au support PS2."
4686,Evil Twin : Cyprien's Chronicles,Evil Twin: Cyprien's Chronicles,PC,16/20,14.1/20,Bigben Interactive In Utero Ubisoft,04 Octobre 2001,Plate-Forme,+7 ans,http://www.jeuxvideo.com/jeux/jeu-58367/," Après bien des retards, on commencait à désespérer de voir un jour une version finale de Evil Twin. Et alors que l'on n'y croyait plus du tout, le CD magique est enfin arrivé. Le jeu tient-t-il toutes ses promesses ? Valait-il vraiment toute cette attente ? C'est ce que nous allons tenter de savoir, pas plus tard que tout de suite."
4687,Evo's Space Adventures,Space Station Silicon Valley,PS1,11/20,7.3/20,Runecraft Take-Two Interactive,Juin 2000,Plate-Forme,+3 ans,http://www.jeuxvideo.com/jeux/playstation-ps1/00003746-evo-s-space-adventures.htm," Si vous aviez un jour un grave problème, comme une station spatiale mystérieuse à explorer, que feriez-vous ? Allez, ça tombe sous le sens… Vous appelleriez bien sûr Dan Danger et son fidèle Evo ! (comment ça non ? :). Bref, vous voilà encore embarqué dans une aventure complètement loufoque qui vous emmènera aux confins du système solaire (en tout cas jusqu'à Uranus) pour aller, entre autres, ramener des moutons du bon côté de la barrière…"
4688,Evochron Alliance,Evochron Alliance,PC,6/20,9.5/20,StarWraith 3D Games The Games Company,28 Novembre 2008,Simulation,+7 ans,http://www.jeuxvideo.com/jeux/pc/00017519-evochron-alliance.htm," Le petit monde des simulations spatiales accueille un nouveau représentant en la personne d'Evochron Alliance, lointain descendant de Star Wraith, qui sort enfin dans une version boîte localisée en français longtemps après sa disponibilité en shareware sur le web. Mais l'attente n'en valait pas vraiment la peine, bien au contraire."
4689,Evoland,Evoland,PC,12/20,15.9/20,Shiro Games,04 Avril 2013,Aventure RPG,+3 ans,http://www.jeuxvideo.com/jeux/jeu-79804/," Le jeu vidéo n'est plus tout jeune et a connu, comme vous vous en doutez, nombre d'évolutions pour arriver là où il en est aujourd'hui. Mais savez-vous à quoi ressemblait un jeu vidéo il y a de ça 30 ans ? Non ? Eh bien, c'est ce que vous propose de découvrir Evoland à travers un jeu de rôle &#47; action fortement inspiré par plusieurs ténors japonais et occidentaux. Idée lumineuse s'il en est, malheureusement ternie par plusieurs problèmes dont on peut difficilement passer outre."
4690,Evoland 2,Evoland 2,PC Mac,14/20,17.3/20,Shiro Games,25 Août 2015,Aventure RPG Action RPG,+3 ans,http://www.jeuxvideo.com/jeux/jeu-83118/,"Après avoir pris la température en 2013 avec un premier Evoland accueilli chaleureusement par les joueurs, l'équipe de Shiro Games a oeuvré depuis sur la conception d'une suite un peu plus ambitieuse. Poussant encore plus loin l'idée de nous faire traverser les âges vidéoludiques dans un action-RPG blindé de références, Evoland 2 s'attaque cette fois-ci à tous les genres et personne n'est épargné !"
4691,Evolution,Evolution,DCAST,12/20,14.2/20,Ubisoft Sting,Juin 2000,RPG,+3 ans,http://www.jeuxvideo.com/jeux/dreamcast-dcast/00003831-evolution.htm," Bien tard par rapport à la sortie japonaise et même par rapport à la sortie américaine, voici que nous arrive Evolution, le RPG made in Sting pour Ubi Soft. LE deuxième épisode est déjà fini mais nous devrons nous contenter du premier en attendant..."
4692,Evolution GT,Corvette GT Evolution,DS,7/20,14.3/20,Firebrand Games Black Bean Milestone,12 Mai 2006,Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-64236/," Evolution GT s'est jadis accidenté sur PC et PS2. Pas choqué par cette expérience malheureuse, l'éditeur Black Bean a confié le projet DS à Firebrand Games. C'est l'assurance qui va être contente..."
4693,Evolution GT,Corvette GT Evolution,PC,8/20,14.3/20,Firebrand Games Black Bean Milestone,12 Mai 2006,Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-64236/," Vous vous souvenez sans doute de SCAR, sorti il y a un an. Douze mois plus tard, c'est son petit frère, toujours développé par Milestone, que l'on voit débarquer sur PC. Une suite qui ne prend aucun risque en misant sur la reconduction de quelques idées novatrices ayant fait l'originalité du soft. Le contenu s'enrichit pour sa part de nouveaux constructeurs venus épauler la marque Alfa-Roméo."
4694,Evolution GT,Corvette GT Evolution,PS2,8/20,14.3/20,Firebrand Games Black Bean Milestone,12 Mai 2006,Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-64236/," Vous vous souvenez sans doute de SCAR, sorti il y a un an. Douze mois plus tard, c'est son petit frère, toujours développé par Milestone, que l'on voit débarquer sur PS2. Une suite qui ne prend aucun risque en misant sur la reconduction de quelques idées novatrices ayant fait l'originalité du soft. Le contenu s'enrichit pour sa part de nouveaux constructeurs venus épauler la marque Alfa-Roméo."
4695,Evolution Skateboarding,Precision Skateboarding,NGC,12/20,15/20,Konami,14 Février 2002,Sport,+12 ans,http://www.jeuxvideo.com/jeux/jeu-61735/," Konami aime le skate mais les joueurs n'aiment pas les jeux de skate de Konami. Pourtant l'éditeur met tout en oeuvre pour varier sa gamme. Ainsi, après avoir officié sous l'enseigne des X-Games et juste avant de lancer Disney Sports Skateboarding (disponible uniquement sur GameCube), on retrouve encore Konami sur une planche à roulettes avec un Evolution Skateboarding tout aussi peu convaincant que ses camarades."
4696,Evolution Skateboarding,Precision Skateboarding,PS2,12/20,--/20,Konami,14 Février 2002,Sport,+12 ans,http://www.jeuxvideo.com/jeux/jeu-61735/," Konami aime le skate mais les joueurs n'aiment pas les jeux de skate de Konami. Pourtant l'éditeur met tout en oeuvre pour varier sa gamme. Ainsi, après avoir officié sous l'enseigne des X-Games et juste avant de lancer Disney Sports Skateboarding (disponible uniquement sur GameCube), on retrouve encore Konami sur une planche à roulettes avec un Evolution Skateboarding tout aussi peu convaincant que ses camarades."
4697,Evolution Worlds,Evolution Worlds,NGC,11/20,14.5/20,Ubisoft Sting,Avril 2003,RPG,+3 ans,http://www.jeuxvideo.com/jeux/gamecube-ngc/00008204-evolution-worlds.htm," Tiens, un nouveau RPG sur GameCube ! Bon d'accord, on ne peut pas dire que ce soit une perle rare ni un soft super attendu, mais peut-être que certains anciens joueurs Dreamcast se souviennent d'un certain Evolution et de sa suite Evolution 2 : Distant Promise. Ces deux titres trouvent enfin leur aboutissement sur GameCube dans Evolution Worlds, le troisième volet de la série."
4698,Evolva,Evolva,PC,16/20,17.8/20,Computer Artworks Virgin Interactive,Mai 2000,Action Tactique,+3 ans,http://www.jeuxvideo.com/jeux/pc/00003195-evolva.htm,Généticien fou ? Stratège en herbe ? Fan de jeu d'action ? Vous devrez être un peu tout ça à la fois pour arriver à maîtriser ce jeu étrange et envoûtant qui apporte une originalité certaine à un genre qu'on croyait presque disparu.
4699,Evolve,Evolve,PC PS4 ONE,15/20,14/20,2K Games Turtle Rock Studios,10 Février 2015,Action FPS Tir,+16 ans,http://www.jeuxvideo.com/jeux/jeu-81753/,"Star des salons pendant toute l'année 2014, Evolve est enfin une réalité. Avec son gameplay asymétrique, ce shooter qui mélange le compétitif et la coopération avait su se poser comme le titre à essayer de 2015. Maintenant qu'il est là, on peut enfin répondre à cette question : le concept tient-il la route ?"
4700,Evolving Planet,Fishing Planet,iOS Android,13/20,13/20,Barcelona Supercomputing Center Murphy's Toast Games,28 Février 2016,Stratégie,+12 ans,http://www.jeuxvideo.com/jeux/jeu-458176/,"Evolving Planet, avant d’être un jeu, est avant tout le fruit du travail d’une équipe de passionnés aux solides connaissances scientifiques. Car derrière le développeur Murphy's Toast Games se cache Xavier Rubio-Campillo, un chercheur au Barcelona Supercomputing Centre, qui possède l’un des supercalculateurs les plus puissants d’Europe. Le bougre possède donc un solide bagage scientifique, y compris dans le domaine de l’intelligence artificielle, autant de points qui expliquent pourquoi Evolving Planet est ce qu’il est, ses forces, mais aussi ses faiblesses. Car Evolving Planet n’est pas exempt de problèmes."
4701,Exalight,Light,PC,10/20,14.7/20,Neuf Cegetel F4,19 Mars 2008,MMO Course,+12 ans,http://www.jeuxvideo.com/jeux/pc/00019018-exalight.htm," Développé par le studio français F4 sous l'égide de Neuf Cegetel, annoncé comme le premier jeu de courses massivement multijoueur, Exalight a de quoi susciter la curiosité. Hélas, son gameplay sympathique s'accommode difficilement de la progression mal calibrée, motivée par les aspirations mercantiles de l'éditeur. Faites chauffer le moteur et la carte bleue : la course va commencer."
4702,Excessive Speed,BreakNeck,PC,15/20,16.3/20,Synetic THQ,Novembre 1999,Course Sport,Unknown,http://www.jeuxvideo.com/jeux/pc/00002506-excessive-speed.htm," Breakneck, Nice 2, et Excessive Speed, quel est le point commun à ces trois noms ? Ils désignent tout simplement le même jeu... Officiellement, c'est ""Excessive Speed"" qui a été retenu, utilisons-le donc pour le test du jeu - un test bien laborieux à effectuer tant les plantages sont courants ! Dommage, car le jeu est vraiment très bon, mais gâché."
4703,Excite Truck,Excite Truck,Wii,12/20,16.1/20,Nintendo Monster Games,16 Février 2007,Course,+7 ans,http://www.jeuxvideo.com/jeux/wii/00016304-excite-truck.htm," Alors qu'aucun jeu de courses ne s'est encore imposé comme première référence sur Wii, Nintendo lance Excite Truck dans le grand bain, l'un des premiers titres annoncés sur le support et développé par Monster Games, que l'on peut aisément qualifier de mélange entre Burnout, Monster Truck et Motocross Madness. Mais son gameplay le détache rapidement de chacun de ces titres et en fait une véritable originalité grâce à une Wiimote transformée le temps de quelques courses en volant boosteur..."
4704,Excitebike,Excitebike,GBA,8/20,16/20,Nintendo,Septembre 1986,Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-59483/," La première fois que ce nom d'Excitebike est venu à mes oreilles, c'était il y a bien longtemps, à l'époque où des bornes permettant de jouer aux titres oeuvrant sur la première série de gameboy étaient installées dans les magasins. Une de ces dernières donnait en avant-première un circuit d'essai. Devant l'aspect très particulier du titre, et sa jouabilité spéciale je ne m'étais pas étendu sur ce sujet. Mais la version NES, vraiment plus attractive (la couleur attire l'oeil), montrait le bout de son nez plein de cambouis. Détenant le statut convoité de l'un des premiers titres sportifs de l'ère 8 bits, il devint une référence incontestée."
4705,Excitebike 64,Excitebike 64,N64,16/20,15.3/20,Left Field Nintendo,08 Juin 2001,Course Sport,+3 ans,http://www.jeuxvideo.com/jeux/nintendo-64-n64/00003752-excitebike-64.htm," Les vieux routards du jeu vidéo n'ont certainement pas oublié le mythique Excitebike, sorti à l'aube de l'ère vidéo-ludique. Justement, le fameux titre revient aujourd'hui sur Nintendo 64 dans un soft qui n'a plus grand-chose à voir avec son ancêtre, mais qui devrait pourtant lui-aussi faire l'unanimité."
4706,Exit,Exit,PSP,16/20,15.9/20,Ubisoft Taito,30 Mars 2006,Action Réflexion Plate-Forme,+7 ans,http://www.jeuxvideo.com/jeux/jeu-64210/," Dans un monde de conflits pour un marché de plus en plus adepte de ""gros titres qui tachent"", la DS semblait se démarquer seule, accueillant la plus grande partie des concepts révolutionnaires, des jeux construisant une marche de l'univers vidéoludique. En effet, la PSP fière de son bel écrin, se contentait de proposer en majorité des adaptations ou des portages. Cependant, un preux ménestrel vint souffler à son oreille que la vie dans le faste ne dure qu'un temps et que bien vite la lassitude remplace les richesses. C'est sans doute avec cette maxime en tête que la portable de Sony choisit d'accueillir Exit, un soft innovant, fort, intelligent et tout simplement attachant. Comme quoi, tout vient à point à qui sait attendre."
4707,Exit 2,Exit 2,360,15/20,15/20,505 Games Taito,22 Mars 2007,Réflexion Plate-Forme,+7 ans,http://www.jeuxvideo.com/jeux/jeu-65195/," Mais quelle est donc cette étrange silhouette aux contours incertains que l'on aperçoit dans le lointain ? Ce grand manteau, ce chapeau... Serait-ce donc Dick Tracy ? The Shadow peut-être ? Geneviève de Fontenay ? Et bien non, il s'agit du subtil Mister Escape, qui revient sur le Xbox Live Arcade pour marcher sur les plates-bandes de l'Agence Tous Risques. Car le sauvetage c'est son affaire et il se pourrait qu'il vous délivre vous aussi des griffes de l'apathie vidéoludique."
4708,Exit 2,Exit 2,PSP,15/20,15/20,505 Games Taito,22 Mars 2007,Réflexion Plate-Forme,+7 ans,http://www.jeuxvideo.com/jeux/jeu-65195/," Mais quelle est donc cette étrange silhouette aux contours incertains que l'on aperçoit dans le lointain ? Ce grand manteau, ce chapeau... serait-ce donc Dick Tracy ? The Shadow peut-être ? Geneviève de Fontenay ? Et bien non, il s'agit du subtil Mister Escape, qui revient sur PSP pour marcher sur les plates-bandes de l'Agence Tous Risques. Car le sauvetage c'est son affaire, et il se pourrait qu'il vous délivre vous aussi des griffes de l'apathie vidéoludique. Suivez le chemin."
4709,Exit DS,Exit DS,DS,15/20,13.4/20,Square Enix Taito,07 Novembre 2008,Réflexion Plate-Forme,+7 ans,http://www.jeuxvideo.com/jeux/nintendo-ds/00020474-exit-ds.htm," Après Arkanoid et Space Invaders Extreme, Square Enix édite sur DS un autre jeu issu du catalogue Taito. Découvert en mars 2006 sur PSP, Exit faisait partie des belles surprises de la portable de Sony et a même eu droit à une suite l'année passée. Le concept n'a rien perdu de sa subtilité sur cette version DS, même si l'effet de surprise n'est plus à l'ordre du jour."
4710,Expendable,Millennium Soldier: Expendable,PC,17/20,15.1/20,Rage Software Ubisoft,Mai 1999,Shoot'em Up,+12 ans,http://www.jeuxvideo.com/jeux/pc/00000355-expendable.htm," S'il est un style peu représenté sur PC, c'est bien le shoot'em up. Après un Incoming assez moyen, Rage nous offre Expendable, un des rares jeux d'arcade qui tienne la comparaison avec les jeux console !"
4711,Experience 112,The Experiment,PC,17/20,14.4/20,Lexis Numérique Micro Application,11 Octobre 2007,Aventure,+16 ans,http://www.jeuxvideo.com/jeux/pc/00015242-experience-112.htm," Quand Lexis Numérique (In Memoriam 1 & 2) revient avec un nouveau jeu d'aventure au concept original, c'est forcément un évènement. Le studio d'Eric Viennot s'étant forgé une solide réputation avec ses premiers titres, son dernier bébé est en effet très attendu par les fans. Une attente bien récompensée."
4712,Experiment 13,Experiment 13,Android,14/20,15/20,Sony Mobile Communications Southend Interactive,23 Décembre 2011,Réflexion Plate-Forme,+3 ans,http://www.jeuxvideo.com/jeux/android/00048044-experiment-13.htm," Si le nom des développeurs suédois de Southend Interactive ne vous dit rien, sachez qu'ils ont pourtant connu un certain succès en 2003 en développant le portage Xbox de XIII, premier FPS en cel shading de l'histoire. On les retrouve aujourd'hui dans un genre radicalement différent avec Experiment 13, puisqu'il s'agit d'un puzzle-game sur Xperia Play. Ici, la gravité joue un rôle primordial lors d'une aventure qui n'hésitera pas à vous retourner le cerveau mais qui n'en reste pas moins très rigolote."
4713,Explodemon!,Explodemon!,PS3,12/20,16/20,Curve Studios,09 Février 2011,Action Plate-Forme,Unknown,http://www.jeuxvideo.com/jeux/jeu-72053/," Vous avez certainement déjà rêvé de tout faire péter sur votre passage. Ca tombe bien, un jeu disponible en téléchargement sur le PSN se propose d'assouvir vos instincts les plus explosifs. Le concept d'Explodemon a un air de déjà-vu mais on est certainement prêt à fermer les yeux sur ses petits emprunts à condition que le résultat soit de bonne qualité."
4714,Extermination,Extermination,PS2,15/20,15.6/20,Sony,06 Juin 2001,Survival-Horror Aventure,+16 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00005436-extermination.htm," Derrière le titre peu subtil d'Extermination se cache un soft bourré de qualités qui, même s'il s'inspire clairement de titres majeurs dans le domaine du survival-horror, parvient à en tirer le meilleur pour constituer au final un très bon jeu, dont auraient tort de se priver les joueurs sur Playstation 2."
4715,Extinction,Extinction,PC PS4 ONE,10/20,7.4/20,Modus Iron Galaxy,10 Avril 2018,Action,+18 ans,http://www.jeuxvideo.com/jeux/jeu-665402/,"Le succès de la franchise Shingeki No Kyojin fait des émules. Le gigantisme est à la mode depuis l’apparition des premières planches de l’œuvre de Hajime Isayama en 2009 et suscite bien des convoitises. Moins d’un mois après la sortie du second jeu vidéo L’Attaque des Titans, le studio Iron Galaxy surfe sur le phénomène et exploite le filon avec un jeu d’action sobrement intitulé Extinction. L’élève est-il à la hauteur du maître ?"
4716,Extreme Ghostbusters : Code Ecto-1,Extreme Ghostbusters,GBA,15/20,18/20,Magic Pockets Wanadoo,Mars 2002,Action Plate-Forme,+3 ans,http://www.jeuxvideo.com/jeux/gameboy-advance-gba/00006766-extreme-ghostbusters-code-ecto-1.htm,Oh là là ! L'heure est grave ! La ville entière est envahie de fantômes et la situation semble empirer d'heure en heure... Que faire ? Qui c'est qu'on appelle ? Les S.O.S Fantômes bien sûr !
4717,ExZeus,ExZeus,PS2,6/20,7.3/20,Metro 3D Hyper Devbox,22 Octobre 2004,Action Tir,+3 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00013089-exzeus.htm," ExZeus, c'est l'histoire d'un mécha qui n'avait pas assez de charisme pour figurer dans le casting d'Evangelion, de Gundam ou de Rahxephon. C'est ainsi qu'il contacta les développeurs d'Hyper-Devbox pour savoir s'il n'y aurait pas moyen de créer un jeu autour de lui histoire qu'il se fasse connaître. Ni une ni deux, voili ti pas que le projet se met en marche, que les pixels prennent forme et qu'un shoot'em up naît dans la douleur et les larmes. Et justement, en parlant de larmes, vous pouvez déjà préparer les vôtres."
4718,Eye of the Beholder,Eye of the Beholder,GBA,14/20,10.3/20,Infogrames Pronto Games,29 Novembre 2002,RPG,+12 ans,http://www.jeuxvideo.com/jeux/gameboy-advance-gba/00010348-eye-of-the-beholder.htm," Qu'il est doux de se replonger dans un épisode de Eye Of the Beholder, série mythique qui fit en son temps le bonheur des amigaistes et des pcistes. C'est aujourd'hui les gbaistes (la langue française est formidable) qui vont à leur tour pouvoir goûter à cette saga estampillée Dungeons & Dragons."
